"Site","Date","TSS","TN-stream","TAN","TON","DIN","TKN","DRP","TP-stream","Chl.a-stream","lat","lon","Turbidity","waterType","Nitrate-N","TN-lake","TP-lake","Chl.a-lake","TP","TN","Chl.a"
"Clearwater Outlet (Lambies Stream)","2019-12-18",4,470,NA,0.009,NA,460,NA,21,NA,-43.604601,171.067143,NA,1,9,NA,NA,NA,21,470,NA
"Clearwater Outlet (Lambies Stream)","2020-01-15",3,300,5,0.009,NA,290,2,14,NA,-43.604601,171.067143,NA,1,9,NA,NA,NA,14,300,NA
"Clearwater Outlet (Lambies Stream)","2020-02-11",4,350,5,0.001,NA,350,2,9,NA,-43.604601,171.067143,NA,1,1,NA,NA,NA,9,350,NA
"Clearwater Outlet (Lambies Stream)","2020-03-16",7,380,5,0.001,NA,380,2,1.9,NA,-43.604601,171.067143,NA,1,1,NA,NA,NA,1.9,380,NA
"Clearwater Outlet (Lambies Stream)","2020-06-02",NA,520,5,0.001,NA,520,2,17,6.2,-43.604601,171.067143,NA,1,1,NA,NA,NA,17,520,6.2
"Clearwater Outlet (Lambies Stream)","2020-07-14",4,340,5,0.004,NA,330,2,18,2.5,-43.604601,171.067143,NA,1,4,NA,NA,NA,18,340,2.5
"Clearwater Outlet (Lambies Stream)","2020-08-11",27,340,5,0.001,NA,340,2,48,1.8,-43.604601,171.067143,NA,1,1,NA,NA,NA,48,340,1.8
"Clearwater Outlet (Lambies Stream)","2020-09-07",7,430,5,0.001,NA,430,2,21,19.2,-43.604601,171.067143,NA,1,1,NA,NA,NA,21,430,19.2
"Clearwater Outlet (Lambies Stream)","2020-12-02",29,280,5,0.001,NA,280,2,54,16.2,-43.604601,171.067143,NA,1,1,NA,NA,NA,54,280,16.2
"Clearwater Outlet (Lambies Stream)","2021-01-13",39,790,5,0.001,NA,790,2,39,19,-43.604601,171.067143,NA,1,1,NA,NA,NA,39,790,19
"Clearwater Outlet (Lambies Stream)","2021-02-24",37,1040,5,0.001,NA,1040,2,19,13.3,-43.604601,171.067143,NA,1,1,NA,NA,NA,19,1040,13.3
"Clearwater Outlet (Lambies Stream)","2021-03-15",35,1080,5,0.001,1.08,1080,2,39,42,-43.604601,171.067143,NA,1,1,NA,NA,NA,39,1080,42
